Esp,pdi1,pdi1a,pdi1b,pdi1c,pdi2,pdi2a,pdi2b,pdi2c,pdi3,pdi3a,pdi3b,pdi3c,pdi4,pdi4a,pdi4b,pdi4c,pdi5,pdi5a,pdi5b,pdi5c,pdi6,pdi6a,pdi6b,pdi6c,pdi7,pdi7a,pdi7b,pdi7c,pdi8,pdi8a,pdi8b,pdi8c,pdi9,pdi9a,pdi9b,pdi9c,pdi10,pdi10a,pdi10b,pdi10c,pdi11,pdi11a,pdi11b,pdi11c,pdi12,pdi12a,pdi12b,pdi12c,pdi13,pdi13a,pdi13b,pdi13c,pdi14,pdi14a,pdi14b,pdi14c,pdi15,pdi15a,pdi15b,pdi15c,pdi16,pdi16a,pdi16b,pdi16c,pdi17,pdi17a,pdi17b,pdi17c,pdi18,pdi18a,pdi18b,pdi18c,pdi19,pdi19a,pdi19b,pdi19c,pdi20,pdi20a,pdi20b,pdi20c,pdi21,pdi21a,pdi21b,pdi21c,pun_tot_pdi,punt_ans_pdi,punt_preo_pdi,punt_conv_pdi
PRE,A_PDI_1,A_PDI_1_distress,A_PDI_1_think,A_PDI_1_believe,A_PDI_2,A_PDI_2_distress,A_PDI_2_think,A_PDI_2_believe,A_PDI_3,A_PDI_3_distress,A_PDI_3_think,A_PDI_3_believe,A_PDI_4,A_PDI_4_distress,A_PDI_4_think,A_PDI_4_believe,A_PDI_5,A_PDI_5_distress,A_PDI_5_think,A_PDI_5_believe,A_PDI_6,A_PDI_6_distress,A_PDI_6_think,A_PDI_6_believe,A_PDI_7,A_PDI_7_distress,A_PDI_7_think,A_PDI_7_believe,A_PDI_8,A_PDI_8_distress,A_PDI_8_think,A_PDI_8_believe,A_PDI_9,A_PDI_9_distress,A_PDI_9_think,A_PDI_9_believe,A_PDI_10,A_PDI_10_distress,A_PDI_10_think,A_PDI_10_believe,A_PDI_11,A_PDI_11_distress,A_PDI_11_think,A_PDI_11_believe,A_PDI_12,A_PDI_12_distress,A_PDI_12_think,A_PDI_12_believe,A_PDI_13,A_PDI_13_distress,A_PDI_13_think,A_PDI_13_believe,A_PDI_14,A_PDI_14_distress,A_PDI_14_think,A_PDI_14_believe,A_PDI_15,A_PDI_15_distress,A_PDI_15_think,A_PDI_15_believe,A_PDI_16,A_PDI_16_distress,A_PDI_16_think,A_PDI_16_believe,A_PDI_17,A_PDI_17_distress,A_PDI_17_think,A_PDI_17_believe,A_PDI_18,A_PDI_18_distress,A_PDI_18_think,A_PDI_18_believe,A_PDI_19,A_PDI_19_distress,A_PDI_19_think,A_PDI_19_believe,A_PDI_20,A_PDI_20_distress,A_PDI_20_think,A_PDI_20_believe,A_PDI_21,A_PDI_21_distress,A_PDI_21_think,A_PDI_21_believe,A_PDI_yesno,A_PDI_distress,A_PDI_preoccupation,A_PDI_conviction
POST,B_PDI_1,B_PDI_1_distress,B_PDI_1_think,B_PDI_1_believe,B_PDI_2,B_PDI_2_distress,B_PDI_2_think,B_PDI_2_believe,B_PDI_3,B_PDI_3_distress,B_PDI_3_think,B_PDI_3_believe,B_PDI_4,B_PDI_4_distress,B_PDI_4_think,B_PDI_4_believe,B_PDI_5,B_PDI_5_distress,B_PDI_5_think,B_PDI_5_believe,B_PDI_6,B_PDI_6_distress,B_PDI_6_think,B_PDI_6_believe,B_PDI_7,B_PDI_7_distress,B_PDI_7_think,B_PDI_7_believe,B_PDI_8,B_PDI_8_distress,B_PDI_8_think,B_PDI_8_believe,B_PDI_9,B_PDI_9_distress,B_PDI_9_think,B_PDI_9_believe,B_PDI_10,B_PDI_10_distress,B_PDI_10_think,B_PDI_10_believe,B_PDI_11,B_PDI_11_distress,B_PDI_11_think,B_PDI_11_believe,B_PDI_12,B_PDI_12_distress,B_PDI_12_think,B_PDI_12_believe,B_PDI_13,B_PDI_13_distress,B_PDI_13_think,B_PDI_13_believe,B_PDI_14,B_PDI_14_distress,B_PDI_14_think,B_PDI_14_believe,B_PDI_15,B_PDI_15_distress,B_PDI_15_think,B_PDI_15_believe,B_PDI_16,B_PDI_16_distress,B_PDI_16_think,B_PDI_16_believe,B_PDI_17,B_PDI_17_distress,B_PDI_17_think,B_PDI_17_believe,B_PDI_18,B_PDI_18_distress,B_PDI_18_think,B_PDI_18_believe,B_PDI_19,B_PDI_19_distress,B_PDI_19_think,B_PDI_19_believe,B_PDI_20,B_PDI_20_distress,B_PDI_20_think,B_PDI_20_believe,B_PDI_21,B_PDI_21_distress,B_PDI_21_think,B_PDI_21_believe,B_PDI_yesno,B_PDI_distress,B_PDI_preoccupation,B_PDI_conviction
